"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",428,146,51,26,40,16,9,2,3,0
"2004",404,101,44,26,12,12,5,2,1,0
"2005",553,122,53,27,24,14,2,2,1,0
"2006",511,142,53,23,40,18,4,2,4,0
"2007",550,147,73,12,28,21,10,2,2,0
"2008",589,96,47,13,25,9,2,0,0,0
"2009",604,80,37,18,15,9,0,0,1,0
"2010",636,80,34,19,14,11,2,0,0,0
"2011",630,69,31,16,16,6,0,0,0,0
"2012",642,59,40,7,7,3,1,1,1,0
"2013",428,43,24,10,5,3,1,0,0,0
"2014",620,65,37,9,11,7,1,0,0,0
"2015",623,49,23,9,12,5,0,0,0,0
"2016",646,46,27,5,9,4,0,0,1,0
"2017",660,48,32,9,5,1,1,0,0,0
"2018",662,42,24,9,5,3,1,0,0,0
"2019",322,27,18,7,2,0,0,0,0,0
"2021",644,40,30,3,5,2,0,0,0,0
"2022",591,44,28,14,2,0,0,0,0,0
"2023",622,40,29,6,3,2,0,0,0,0
"2024",620,39,30,4,3,1,0,1,0,0
