year,count_of_length_cm,count_of_otosag_id
2003,1602,382
2004,1003,353
2005,928,322
2006,1578,496
2007,1320,507
2008,811,366
2009,1144,481
2010,1240,507
2011,1278,527
2012,761,360
2013,809,345
2014,1010,508
2015,725,333
2016,1168,538
2017,1230,423
2018,675,410
2019,227,131
2021,779,443
2022,532,329
2023,650,398
2024,704,412
2025,387,242
