"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",440,134,45,17,16,15,11,9,12,15
"2004",363,142,61,18,21,9,14,6,7,7
"2005",490,185,72,18,26,19,15,5,11,19
"2006",471,182,80,26,27,17,6,11,8,13
"2007",530,167,66,26,21,16,11,4,5,21
"2008",535,150,65,21,15,12,9,9,11,16
"2009",519,165,79,24,15,9,12,6,8,16
"2010",527,189,80,21,22,17,14,6,9,24
"2011",512,187,90,18,21,14,2,12,10,25
"2012",513,188,70,23,28,21,9,12,9,22
"2013",346,125,45,13,20,11,14,6,7,14
"2014",505,180,73,21,19,18,13,12,11,18
"2015",498,174,69,22,22,18,8,14,18,13
"2016",529,163,48,17,23,19,14,9,11,28
"2017",539,169,68,17,19,17,10,12,19,15
"2018",506,198,68,18,33,14,30,10,12,18
"2019",253,96,37,8,15,7,3,6,9,14
"2021",519,165,67,11,14,16,10,14,18,21
"2022",486,149,53,15,14,19,15,8,10,20
"2023",516,146,52,23,16,17,9,10,13,15
"2024",498,161,51,19,28,14,16,9,11,17
