"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",449,125,58,16,17,17,8,5,3,3
"2004",425,80,41,13,11,8,2,2,3,2
"2005",579,96,53,15,13,6,3,1,4,2
"2006",539,114,56,20,22,8,4,1,1,2
"2007",571,126,63,27,19,8,4,2,0,3
"2008",584,101,53,17,15,8,4,3,2,1
"2009",591,93,54,14,14,7,3,0,0,1
"2010",610,106,61,20,14,8,2,1,0,0
"2011",589,110,59,12,20,7,7,2,3,1
"2012",581,120,50,25,20,11,8,4,5,0
"2013",383,88,39,26,7,6,6,2,2,1
"2014",579,106,41,16,25,13,5,6,4,0
"2015",560,112,50,14,23,10,7,5,5,2
"2016",575,117,46,26,23,10,5,4,4,2
"2017",596,112,44,27,18,15,5,2,3,0
"2018",589,115,54,18,20,14,2,5,2,2
"2019",293,56,16,15,10,9,3,2,1,1
"2021",575,109,52,22,16,10,6,3,1,0
"2022",535,100,43,21,19,12,4,0,1,0
"2023",547,115,48,23,20,12,7,4,4,0
"2024",555,104,60,14,18,6,3,1,2,1
