"year","count_of_length_cm","count_of_otosag_id"
"2003",74,0
"2004",156,0
"2005",226,103
"2006",47,46
"2007",191,68
"2008",50,50
"2009",347,130
"2010",58,42
"2011",239,117
"2012",94,66
"2013",259,67
"2014",93,73
"2015",163,58
"2016",139,97
"2017",309,140
"2018",289,128
"2019",215,88
"2021",335,211
"2022",465,201
"2023",243,165
"2024",211,105
"2025",157,130
