"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",533,9,6,1,1,0,1,0,0,0
"2004",458,12,6,2,1,1,0,1,0,1
"2005",631,10,3,1,3,0,2,1,1,0
"2006",629,11,7,4,0,0,0,0,0,0
"2007",675,12,8,1,0,1,0,1,0,1
"2008",668,12,9,1,2,0,0,0,0,0
"2009",670,11,2,1,4,1,1,0,0,2
"2010",703,10,7,2,0,1,0,0,0,0
"2011",679,16,9,1,3,1,0,2,2,0
"2012",687,9,5,0,2,1,0,0,0,1
"2013",461,7,2,1,0,0,1,1,0,2
"2014",672,6,1,0,3,2,0,0,0,0
"2015",651,15,11,2,0,1,0,0,0,1
"2016",680,12,7,1,2,1,0,1,1,0
"2017",695,13,8,0,0,1,2,1,0,1
"2018",678,23,20,0,0,1,0,0,1,1
"2019",335,13,9,2,0,0,0,1,1,1
"2021",660,24,13,1,6,1,0,1,1,1
"2022",618,17,8,0,3,1,1,1,0,3
"2023",647,15,6,3,1,3,1,1,1,0
"2024",647,11,5,3,0,0,2,0,1,0
"2025",688,11,1,4,4,0,1,0,0,1
