year,count_of_length_cm,count_of_otosag_id
2004,126,124
2005,122,122
2006,88,88
2007,119,119
2008,139,139
2009,80,80
2010,60,0
2011,126,1
2012,106,106
2013,96,95
2014,110,110
2015,78,78
2016,89,87
2017,46,40
2018,77,66
2019,69,61
2021,92,90
2022,92,91
2023,130,130
2024,62,61
2025,104,102
