"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",274,300,144,63,63,21,8,1,0,0
"2004",215,290,144,56,50,25,10,5,2,0
"2005",282,393,201,90,56,39,4,3,2,0
"2006",263,390,205,77,78,22,3,4,3,1
"2007",281,416,210,90,69,32,9,5,2,1
"2008",290,395,209,69,68,34,10,3,4,1
"2009",318,366,209,49,63,30,15,0,0,0
"2010",308,408,208,68,77,28,16,5,8,2
"2011",271,428,234,92,69,20,5,5,3,1
"2012",271,430,196,99,76,34,14,7,7,0
"2013",173,298,141,67,55,21,8,4,1,2
"2014",262,423,191,81,80,41,23,5,3,1
"2015",241,431,183,86,86,51,15,9,8,0
"2016",264,428,170,89,97,40,19,10,9,1
"2017",270,438,194,100,76,33,22,12,9,0
"2018",278,426,202,85,72,36,22,8,5,0
"2019",126,223,114,46,35,16,8,3,1,0
"2021",276,408,211,78,68,40,9,1,0,1
"2022",247,388,189,85,61,28,16,4,3,3
"2023",251,411,201,83,86,26,8,7,3,0
"2024",277,382,199,83,71,22,4,1,2,1
