species,2025
arrowtooth flounder,10
aurora rockfish,20
bank rockfish,100
big skate,50
black rockfish,100
blackgill rockfish,100
blue and deacon rockfish,100
bocaccio,50
cabezon,100
California scorpionfish,100
canary rockfish,100
chilipepper,20
copper rockfish,100
cowcod,100
darkblotched rockfish,50
Dover sole,10
English sole,10
flathead sole,50
greenspotted rockfish,50
greenstriped rockfish,20
kelp greenling,100
lingcod north,20
lingcod south,50
longnose skate,20
longspine thornyhead,20
Pacific cod,50
Pacific ocean perch,50
Pacific sanddab,10
Pacific spiny dogfish,20
petrale sole,20
quillback rockfish,100
redbanded rockfish,100
redstripe rockfish,100
rex sole,10
rosethorn rockfish,30
rougheye and blackspotted rockfish,100
sablefish,20
sharpchin rockfish,50
shortraker rockfish,100
shortspine thornyhead,20
silvergray rockfish,100
splitnose rockfish,20
squarespot rockfish,100
starry rockfish,100
stripetail rockfish,20
vermilion and sunset rockfish,100
widow rockfish,100
yelloweye rockfish,100
yellowmouth rockfish,100
yellowtail rockfish north,50
yellowtail rockfish south,100
