year,count_of_length_cm,count_of_otosag_id
2003,436,304
2004,740,380
2005,328,276
2006,230,179
2007,88,85
2008,610,410
2009,527,481
2010,799,454
2011,628,410
2012,1132,382
2013,639,245
2014,1446,440
2015,886,344
2016,750,317
2017,639,316
2018,759,333
2019,196,161
2021,365,244
2022,253,229
2023,255,173
2024,263,224
2025,406,297
