year,count_of_length_cm,count_of_otosag_id
2003,4502,1369
2004,2748,692
2005,3957,862
2006,3035,734
2007,3552,894
2008,3251,879
2009,3469,956
2010,3695,1129
2011,3060,1043
2012,3032,1021
2013,2534,685
2014,3650,923
2015,3851,967
2016,3257,974
2017,2218,866
2018,1761,761
2019,754,376
2021,1399,629
2022,1588,681
2023,1909,842
2024,1747,759
2025,1740,741
