year,count_of_length_cm,count_of_otosag_id
2003,112,56
2004,115,78
2005,259,140
2006,102,100
2007,108,107
2008,122,122
2009,126,96
2010,89,89
2011,115,115
2012,87,85
2013,68,68
2014,42,23
2015,185,174
2016,105,105
2017,179,135
2018,97,97
2019,58,58
2021,149,149
2022,43,43
2023,81,79
2024,59,59
2025,114,113
