year,count_of_length_cm,count_of_otosag_id
2004,5,5
2005,17,17
2006,10,10
2007,23,23
2008,22,21
2009,30,30
2010,21,21
2011,24,24
2012,36,36
2013,31,31
2014,30,25
2015,110,95
2016,48,46
2017,62,61
2018,100,101
2019,93,93
2021,98,93
2022,94,94
2023,98,98
2024,82,81
2025,65,64
