"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",66,3,2,1,0,0,0,0,0,0
"2004",62,0,0,0,0,0,0,0,0,0
"2005",74,0,0,0,0,0,0,0,0,0
"2006",51,2,1,0,0,0,1,0,0,0
"2007",72,1,1,0,0,0,0,0,0,0
"2008",60,5,4,1,0,0,0,0,0,0
"2009",50,2,0,0,1,1,0,0,0,0
"2010",54,3,1,2,0,0,0,0,0,0
"2011",35,3,3,0,0,0,0,0,0,0
"2012",53,4,2,0,0,2,0,0,0,0
"2013",25,1,0,1,0,0,0,0,0,0
"2014",29,3,2,0,0,0,1,0,0,0
"2015",31,2,2,0,0,0,0,0,0,0
"2016",26,5,3,1,1,0,0,0,0,0
"2017",29,1,1,0,0,0,0,0,0,0
"2018",28,0,0,0,0,0,0,0,0,0
"2019",17,3,1,2,0,0,0,0,0,0
"2021",31,0,0,0,0,0,0,0,0,0
"2022",25,0,0,0,0,0,0,0,0,0
"2023",23,1,1,0,0,0,0,0,0,0
"2024",23,0,0,0,0,0,0,0,0,0
