year,count_of_length_cm,count_of_otosag_id
2004,0,0
2005,1,0
2006,1,1
2007,1,0
2008,0,0
2009,0,0
2010,1,0
2011,0,0
2012,0,0
2013,0,0
2014,2,0
2015,7,0
2016,0,0
2017,3,0
2018,4,3
2019,0,0
2021,4,2
2022,8,8
2023,8,8
2024,1,1
2025,4,2
