"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 99"
"2003",1078,6,3,1,1,0,0,0,0,0,0,0,0
"2004",937,3,3,0,0,0,0,0,0,0,0,0,0
"2005",1276,6,5,0,0,1,0,0,0,0,0,0,0
"2006",1275,5,4,1,0,0,0,0,0,0,0,0,0
"2007",1366,8,5,0,1,0,1,0,0,0,0,0,0
"2008",1347,13,11,1,1,0,0,0,0,0,0,0,0
"2009",1348,15,9,2,1,1,1,0,0,1,0,0,0
"2010",1411,15,11,2,2,0,0,0,0,0,0,0,0
"2011",1386,4,3,0,1,0,0,0,0,0,0,0,0
"2012",1376,16,8,0,1,1,0,0,0,1,0,0,2
"2013",926,10,1,5,1,0,0,0,1,0,0,0,2
"2014",1342,14,14,0,0,0,0,0,0,0,0,0,0
"2015",1320,12,9,0,1,0,0,0,1,0,0,0,1
"2016",1364,20,16,2,0,0,0,0,0,0,0,0,1
"2017",1400,16,11,1,0,1,1,0,0,0,0,0,1
"2018",1388,14,9,2,0,0,0,0,0,0,0,0,1
"2019",689,7,4,0,0,2,0,0,0,0,1,0,0
"2021",1348,20,12,3,1,1,0,0,0,0,0,0,1
"2022",1251,19,13,3,1,1,0,0,0,0,0,1,0
"2023",1305,19,12,3,0,1,1,0,0,0,0,0,1
"2024",1300,16,13,2,0,0,0,0,0,0,0,0,0
"2025",1383,15,9,2,1,0,1,0,1,0,0,0,0
"Average across years",1264,12,8,1,1,0,0,0,0,0,0,0,0
