"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",68,1,0,0,0,1,0,0,0,0
"2004",62,0,0,0,0,0,0,0,0,0
"2005",74,0,0,0,0,0,0,0,0,0
"2006",52,1,0,0,0,0,0,1,1,0
"2007",72,1,1,0,0,0,0,0,0,0
"2008",61,4,2,1,1,0,0,0,0,0
"2009",51,1,1,0,0,0,0,0,0,0
"2010",56,1,0,0,1,0,0,0,0,0
"2011",37,1,0,0,0,1,0,0,0,0
"2012",55,2,1,0,0,0,1,0,0,0
"2013",24,2,1,0,0,1,0,0,0,0
"2014",30,2,1,0,0,0,0,0,0,1
"2015",31,2,1,0,0,0,0,0,1,0
"2016",30,1,0,1,0,0,0,0,0,0
"2017",28,2,2,0,0,0,0,0,0,0
"2018",26,2,1,1,0,0,0,0,0,0
"2019",19,1,0,0,0,0,0,0,0,1
"2021",31,0,0,0,0,0,0,0,0,0
"2022",24,1,0,0,1,0,0,0,0,0
"2023",22,2,1,1,0,0,0,0,0,0
"2024",20,3,2,1,0,0,0,0,0,0
