"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",444,130,37,10,20,8,13,13,23,17
"2004",418,87,26,12,15,6,7,3,9,12
"2005",545,130,40,23,21,7,10,4,8,18
"2006",520,133,23,16,21,13,9,14,15,28
"2007",550,147,30,12,26,13,17,9,15,32
"2008",556,129,29,11,21,14,12,10,13,26
"2009",552,132,36,15,22,11,9,15,11,20
"2010",588,128,28,18,16,10,17,13,17,14
"2011",555,144,40,17,20,14,9,13,15,22
"2012",568,133,32,10,24,22,14,7,11,17
"2013",373,98,23,15,9,10,10,8,15,13
"2014",561,124,24,20,12,15,7,8,18,28
"2015",555,117,27,10,12,15,8,12,16,25
"2016",571,121,31,12,14,18,6,9,14,19
"2017",585,123,28,16,16,15,6,7,15,27
"2018",587,117,34,12,19,11,2,6,11,27
"2019",291,58,12,7,9,3,5,8,11,9
"2021",578,106,26,16,17,11,8,8,11,13
"2022",539,96,23,12,17,6,14,4,7,15
"2023",549,113,35,14,17,8,13,9,12,12
"2024",548,111,43,11,12,12,8,8,11,12
