"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",556,18,10,2,3,1,2,0,0,0
"2004",486,19,11,3,2,1,0,1,0,1
"2005",660,15,5,2,3,0,3,1,1,1
"2006",639,14,9,4,0,0,1,0,0,0
"2007",682,15,9,2,1,1,0,1,0,1
"2008",672,13,10,1,2,0,0,0,0,0
"2009",673,11,2,1,4,1,1,0,0,2
"2010",706,10,7,2,0,1,0,0,0,0
"2011",683,16,9,1,3,1,0,2,2,0
"2012",692,9,5,0,2,1,0,0,0,1
"2013",464,7,2,1,0,0,1,1,0,2
"2014",678,7,2,0,3,2,0,0,0,0
"2015",657,15,11,2,0,1,0,0,0,1
"2016",680,12,7,1,2,1,0,1,1,0
"2017",695,13,8,0,0,1,2,1,0,1
"2018",681,23,20,0,0,1,0,0,1,1
"2019",336,13,9,2,0,0,0,1,1,1
"2021",660,24,13,1,6,1,0,1,1,1
"2022",618,17,8,0,3,1,1,1,0,3
"2023",647,15,6,3,1,3,1,1,1,0
"2024",647,12,5,3,0,0,2,0,2,0
