"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",145,429,163,87,100,48,10,7,11,8
"2004",159,346,141,66,63,41,19,10,8,4
"2005",217,458,184,92,98,46,22,11,8,2
"2006",250,403,160,67,104,49,19,2,1,2
"2007",267,430,181,98,89,45,11,5,3,1
"2008",264,421,200,92,78,35,10,5,3,0
"2009",265,419,234,69,68,27,11,4,3,3
"2010",258,458,236,115,57,24,10,5,7,7
"2011",242,457,201,92,89,41,17,11,9,3
"2012",273,428,179,87,95,41,16,4,2,6
"2013",164,307,117,61,71,40,13,3,2,2
"2014",222,463,225,97,78,34,15,2,7,7
"2015",249,423,167,88,73,57,26,2,4,7
"2016",253,439,165,85,82,70,25,6,5,4
"2017",248,460,169,87,88,54,25,14,14,16
"2018",269,435,148,78,91,57,30,12,17,12
"2019",123,226,94,40,46,17,11,15,6,2
"2021",164,520,168,70,98,77,47,26,25,26
"2022",169,466,114,58,81,79,46,32,30,44
"2023",174,488,137,50,104,67,51,37,33,29
"2024",181,478,129,62,78,75,45,34,38,36
