"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 99"
"2003",120,422,226,94,32,18,3,4,1,2,2,3,9
"2004",140,330,190,55,29,15,3,7,6,3,0,1,4
"2005",193,448,255,90,35,15,9,7,3,2,3,1,3
"2006",241,399,212,97,39,17,8,3,0,0,1,0,2
"2007",258,429,265,84,33,14,4,2,2,2,0,0,1
"2008",260,420,277,73,28,9,6,4,0,2,0,0,0
"2009",262,419,289,66,22,7,6,2,2,0,1,0,5
"2010",257,456,331,53,23,4,4,3,2,1,1,1,9
"2011",239,456,273,84,27,17,9,0,7,1,3,0,4
"2012",268,428,247,88,31,14,4,5,1,1,0,0,6
"2013",161,307,171,64,29,12,9,0,2,0,1,0,2
"2014",218,460,300,69,22,16,6,2,1,1,2,1,9
"2015",246,420,235,69,41,21,7,6,0,1,0,1,9
"2016",253,439,236,77,49,29,14,4,0,3,0,1,5
"2017",248,460,241,83,39,22,11,7,4,4,3,3,18
"2018",267,434,209,84,38,21,17,6,0,8,1,1,17
"2019",122,226,130,41,14,7,4,9,3,3,2,0,3
"2021",164,520,227,91,55,29,22,14,8,5,6,3,30
"2022",170,465,162,77,53,28,25,17,7,11,3,6,48
"2023",174,488,180,96,53,26,25,15,10,10,9,5,34
"2024",180,478,184,70,49,35,22,17,9,12,5,5,47
"2025",188,511,228,87,37,30,19,13,8,5,5,7,38
"Average across years",210,428,230,77,35,18,11,7,3,4,2,2,14
