"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",349,193,59,27,28,30,21,14,13,9
"2004",299,171,51,35,29,28,14,5,5,6
"2005",424,217,86,25,31,27,22,10,11,12
"2006",452,188,77,28,32,19,12,9,10,6
"2007",460,227,80,40,43,27,19,12,11,4
"2008",451,229,86,33,25,27,27,13,13,12
"2009",446,235,81,27,28,25,23,19,24,23
"2010",449,264,68,35,36,41,30,14,21,27
"2011",429,266,92,33,35,26,19,22,29,23
"2012",448,248,81,40,31,33,23,13,20,15
"2013",284,184,45,27,38,22,24,14,12,11
"2014",405,273,87,29,32,24,34,26,29,26
"2015",388,278,74,38,37,38,34,27,24,20
"2016",407,285,100,44,49,28,30,15,22,6
"2017",441,267,96,45,43,32,17,16,18,12
"2018",469,232,86,43,48,24,8,15,12,3
"2019",225,123,64,14,11,15,7,5,4,6
"2021",480,204,93,30,31,17,9,11,12,7
"2022",429,206,67,23,25,20,21,13,18,28
"2023",420,242,73,34,32,16,26,17,24,30
"2024",435,223,69,27,23,22,25,19,19,30
"2025",478,221,66,23,37,17,22,13,11,38
