"year","count_of_length_cm","count_of_otosag_id"
"2003",22889,2976
"2004",17399,2496
"2005",17695,2509
"2006",13516,1977
"2007",11265,2141
"2008",6245,1074
"2009",3578,1056
"2010",3236,1170
"2011",8423,1085
"2012",8753,1092
"2013",7317,816
"2014",10127,1121
"2015",10046,1094
"2016",10160,1126
"2017",6233,1158
"2018",6034,1166
"2019",3033,565
"2021",5637,1122
"2022",5314,1065
"2023",5189,1102
"2024",5465,1132
"2025",5754,1163
