year,count_of_length_cm,count_of_otosag_id
2004,21,21
2005,20,20
2006,11,11
2007,21,21
2008,4,4
2009,20,20
2010,16,16
2011,11,11
2012,12,12
2013,12,12
2014,26,26
2015,21,20
2016,11,11
2017,15,15
2018,41,41
2019,41,41
2021,12,11
2022,58,58
2023,20,19
2024,16,15
2025,24,23
