year,count_of_length_cm,count_of_otosag_id
2003,1426,434
2004,565,219
2005,527,258
2006,659,255
2007,628,439
2008,539,328
2009,471,333
2010,907,579
2011,921,677
2012,1175,699
2013,732,553
2014,991,626
2015,1165,845
2016,1150,770
2017,976,778
2018,648,537
2019,345,291
2021,821,819
2022,1057,1005
2023,1117,662
2024,941,659
2025,1010,578
