"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",57,12,6,0,2,1,0,1,0,2
"2004",55,7,2,0,0,0,1,0,1,3
"2005",64,10,4,2,1,0,0,1,1,2
"2006",41,12,2,1,3,0,1,0,1,4
"2007",53,20,7,2,3,2,2,0,0,4
"2008",37,28,12,4,3,1,4,0,1,3
"2009",35,17,4,1,3,2,3,2,2,2
"2010",27,30,13,2,3,4,4,1,2,1
"2011",25,13,5,4,0,0,1,0,2,1
"2012",36,21,10,1,2,1,2,2,1,3
"2013",13,13,1,3,4,1,1,0,0,3
"2014",16,16,7,0,0,0,2,5,4,1
"2015",22,11,2,0,2,2,0,1,1,4
"2016",18,13,6,1,3,1,1,0,1,0
"2017",19,11,4,1,1,1,3,0,0,1
"2018",17,11,5,2,1,1,0,1,1,1
"2019",10,10,5,1,1,0,0,1,1,2
"2021",16,15,5,1,1,3,0,4,3,1
"2022",10,15,7,1,2,2,2,1,0,0
"2023",12,12,4,0,3,1,1,2,2,1
"2024",8,15,6,1,0,2,3,1,1,2
