"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",378,196,60,27,28,31,22,14,13,9
"2004",329,176,53,38,29,28,14,5,5,6
"2005",457,218,86,25,31,27,22,10,12,12
"2006",464,189,78,28,32,19,12,9,10,6
"2007",469,228,81,40,43,27,19,12,11,4
"2008",456,229,86,33,25,27,27,13,13,12
"2009",448,236,81,28,28,25,23,19,24,23
"2010",451,265,68,36,36,41,30,14,21,27
"2011",433,266,92,33,35,26,19,22,29,23
"2012",452,249,81,40,32,33,23,13,20,15
"2013",287,184,45,27,38,22,24,14,12,11
"2014",412,273,87,29,32,24,34,26,29,26
"2015",394,278,74,38,37,38,34,27,24,20
"2016",407,285,100,44,49,28,30,15,22,6
"2017",441,267,96,45,43,32,17,16,18,12
"2018",472,232,86,43,48,24,8,15,12,3
"2019",226,123,64,14,11,15,7,5,4,6
"2021",480,204,93,30,31,17,9,11,12,7
"2022",428,207,67,23,26,20,21,13,18,28
"2023",420,242,73,34,32,16,26,17,24,30
"2024",436,223,69,27,23,22,25,19,19,30
