"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",229,345,77,31,36,41,48,26,38,65
"2004",190,315,68,26,43,36,20,26,40,74
"2005",269,406,116,50,47,45,26,31,47,66
"2006",306,347,100,34,41,31,25,28,32,77
"2007",330,367,118,42,41,40,32,30,30,52
"2008",345,340,125,38,30,33,39,17,23,46
"2009",327,357,109,40,45,36,32,27,31,54
"2010",398,318,137,44,43,28,17,15,11,30
"2011",379,320,127,43,47,25,27,16,13,31
"2012",408,293,131,37,46,36,16,6,12,12
"2013",276,195,92,26,22,10,9,7,9,25
"2014",362,323,123,49,41,44,21,18,17,17
"2015",672,0,0,0,0,0,0,0,0,0
"2016",692,0,0,0,0,0,0,0,0,0
"2017",708,0,0,0,0,0,0,0,0,0
"2018",351,353,125,55,52,43,20,19,24,29
"2019",172,177,72,18,36,13,13,9,10,11
"2021",360,324,131,40,48,39,19,10,15,28
"2022",302,333,114,46,55,31,20,29,27,26
"2023",332,330,139,52,49,30,19,13,11,23
"2024",371,288,125,54,40,20,15,12,12,15
