"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"2003",490,52,23,6,3,4,3,2,0,1,2,0,4
"2004",425,45,26,9,4,3,0,2,0,1,0,0,0
"2005",599,42,27,4,3,2,2,2,0,0,0,0,1
"2006",590,50,37,5,3,2,1,0,0,0,0,0,1
"2007",660,27,23,2,1,0,0,0,0,0,0,0,0
"2008",655,25,22,1,1,0,0,0,0,1,0,0,0
"2009",643,38,32,5,0,0,0,0,0,0,0,0,0
"2010",658,55,41,8,4,1,0,1,0,0,0,0,0
"2011",643,52,32,10,1,1,2,1,0,0,1,0,0
"2012",647,49,40,5,3,0,0,0,0,0,0,0,0
"2013",435,33,23,6,0,2,0,0,0,1,1,0,0
"2014",601,77,39,17,5,4,2,1,0,1,0,0,0
"2015",565,101,54,21,4,2,1,5,2,1,0,3,6
"2016",617,75,33,19,6,2,1,3,0,1,2,2,3
"2017",631,77,50,7,3,3,1,2,1,1,0,0,8
"2018",636,65,43,5,2,3,3,1,0,0,0,0,2
"2019",318,30,22,4,0,0,0,1,0,0,0,0,1
"2021",634,50,42,3,1,0,3,0,0,0,0,0,1
"2022",599,36,27,3,2,1,1,1,0,0,0,0,0
"2023",602,60,41,5,5,3,1,1,0,0,0,0,1
"2024",609,49,36,5,3,0,2,1,0,0,0,0,1
"2025",647,52,41,3,0,1,1,1,0,0,0,0,1
"Average across years",586.545454545455,51.8181818181818,34.2727272727273,6.95454545454545,2.45454545454545,1.54545454545455,1.09090909090909,1.13636363636364,0.136363636363636,0.363636363636364,0.272727272727273,0.227272727272727,1.36363636363636
