year,count_of_length_cm,count_of_otosag_id
2003,783,0
2004,290,0
2005,199,0
2006,166,0
2007,177,0
2008,89,0
2009,123,0
2010,404,221
2011,301,150
2012,154,89
2013,175,33
2014,240,185
2015,328,270
2016,231,148
2017,96,95
2018,45,45
2019,69,33
2021,24,24
2022,75,75
2023,189,117
2024,114,72
2025,109,75
