"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",508,66,55,7,3,1,0,0,0,0
"2004",415,90,74,9,4,3,0,0,0,0
"2005",565,110,97,8,4,1,0,0,0,0
"2006",585,68,62,4,2,0,0,0,0,0
"2007",617,80,69,9,2,0,0,0,0,0
"2008",629,56,48,4,3,1,0,0,0,0
"2009",598,86,72,9,5,0,0,0,0,0
"2010",586,130,104,18,6,1,0,1,0,0
"2011",595,104,90,5,6,2,1,0,0,0
"2012",595,106,91,7,4,2,2,0,0,0
"2013",387,84,69,7,6,1,1,0,0,0
"2014",534,151,119,18,11,2,1,0,0,0
"2015",537,135,107,18,7,1,2,0,0,0
"2016",587,105,83,11,8,2,1,0,0,0
"2017",583,125,100,10,13,2,0,0,0,0
"2018",581,123,104,16,3,0,0,0,0,0
"2019",293,56,46,7,2,1,0,0,0,0
"2021",592,92,75,11,4,2,0,0,0,0
"2022",523,112,91,9,5,4,2,1,1,0
"2023",554,108,89,10,6,3,0,0,0,0
"2024",578,81,73,5,2,1,0,0,0,0
