"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",60,9,4,1,3,1,0,0,0,0
"2004",50,12,5,1,2,1,2,1,0,0
"2005",69,5,2,2,1,0,0,0,0,0
"2006",44,9,3,1,2,2,1,0,0,0
"2007",68,5,2,0,2,0,0,0,0,1
"2008",45,20,8,2,1,2,3,1,1,2
"2009",39,13,4,2,5,1,0,0,1,0
"2010",36,21,7,3,5,3,1,0,1,1
"2011",29,9,6,1,0,2,0,0,0,0
"2012",40,17,8,2,3,1,2,1,0,0
"2013",13,13,5,3,3,1,1,0,0,0
"2014",20,12,7,0,1,0,0,3,2,1
"2015",23,10,2,1,3,2,2,0,0,0
"2016",23,8,3,2,0,1,0,1,2,0
"2017",24,6,3,2,0,0,0,1,0,0
"2018",19,9,5,1,3,0,0,0,0,0
"2019",16,4,1,0,1,1,1,0,0,0
"2021",20,11,3,1,3,3,0,1,1,0
"2022",17,8,5,2,0,1,0,0,0,0
"2023",15,9,5,4,0,0,0,0,0,0
"2024",14,9,3,1,1,0,1,0,1,2
