"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"2003",427,115,41,9,3,5,4,1,5,2,1,0,38
"2004",355,115,41,8,6,8,1,2,3,1,2,3,35
"2005",503,138,53,8,5,6,2,1,2,3,1,3,50
"2006",505,135,55,13,4,3,6,1,1,2,2,2,39
"2007",549,138,66,12,9,4,3,2,2,2,1,2,30
"2008",560,120,60,7,3,3,3,3,0,1,1,2,35
"2009",533,148,77,14,2,3,5,3,3,1,1,2,33
"2010",547,166,69,25,7,5,6,2,3,6,2,5,32
"2011",537,158,51,10,13,4,9,3,4,4,4,1,48
"2012",548,148,56,15,9,5,7,1,5,0,0,0,44
"2013",374,94,39,6,4,3,1,1,2,0,1,0,34
"2014",532,146,56,10,7,4,5,6,0,4,4,0,42
"2015",503,163,72,19,11,8,2,1,4,1,1,2,36
"2016",545,147,54,13,9,2,7,4,2,0,1,4,45
"2017",530,178,73,15,12,3,3,4,3,4,3,3,47
"2018",537,164,69,14,11,2,7,3,2,0,1,2,46
"2019",266,82,25,5,3,2,4,2,0,2,0,1,38
"2021",519,165,49,21,7,5,4,2,2,0,2,0,68
"2022",499,136,51,12,8,3,0,3,4,2,3,1,43
"2023",520,142,55,12,11,3,5,4,3,1,0,2,39
"2024",504,154,63,9,6,4,6,3,2,1,2,3,49
"2025",557,142,36,16,9,5,6,2,3,3,4,1,51
"Average across years",497.727272727273,140.636363636364,55.0454545454545,12.4090909090909,7.22727272727273,4.09090909090909,4.36363636363636,2.45454545454545,2.5,1.81818181818182,1.68181818181818,1.77272727272727,41.9090909090909
