"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 99"
"2003",538,4,4,0,0,0,0,0,0,0,0,0,0
"2004",462,8,5,1,0,0,0,0,1,0,0,0,0
"2005",630,11,8,0,1,0,0,0,1,0,1,0,0
"2006",628,12,9,1,0,0,0,0,0,0,0,0,2
"2007",672,15,12,2,0,0,0,0,0,0,0,0,0
"2008",663,17,17,0,0,0,0,0,0,0,0,0,0
"2009",669,12,9,2,0,1,0,0,0,0,0,0,0
"2010",700,13,11,0,1,0,0,0,0,0,0,0,1
"2011",679,16,14,0,0,0,1,0,1,0,0,0,0
"2012",687,9,8,1,0,0,0,0,0,0,0,0,0
"2013",454,14,14,0,0,0,0,0,0,0,0,0,0
"2014",660,18,15,0,0,1,1,0,0,0,0,0,1
"2015",648,18,15,3,0,0,0,0,0,0,0,0,0
"2016",676,16,12,2,0,0,0,0,0,0,0,0,1
"2017",694,14,14,0,0,0,0,0,0,0,0,0,0
"2018",688,13,8,1,0,0,0,0,0,0,1,0,2
"2019",342,6,2,0,0,0,0,0,0,0,0,0,4
"2021",677,7,7,0,0,0,0,0,0,0,0,0,0
"2022",621,14,14,0,0,0,0,0,0,0,0,0,0
"2023",648,14,13,0,0,1,0,0,0,0,0,0,0
"2024",645,13,9,2,1,1,0,0,0,0,0,0,0
"2025",684,15,12,1,0,0,0,2,0,0,0,0,0
"Average across years",626,13,11,1,0,0,0,0,0,0,0,0,0
