Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,246,296,131,44,27,13,11,8,6,5,3,2,30
2004,254,216,85,39,13,12,8,4,5,3,5,0,32
2005,324,317,116,48,32,14,18,7,7,6,1,4,37
2006,307,333,130,55,31,17,13,10,7,4,5,5,35
2007,317,370,143,56,40,17,14,7,8,12,9,4,44
2008,318,362,147,62,26,18,18,11,3,7,4,6,34
2009,339,342,147,49,28,16,12,8,7,6,3,4,39
2010,354,359,161,60,31,14,7,10,5,8,2,2,33
2011,347,348,130,62,36,17,11,6,5,8,4,4,40
2012,347,349,138,50,34,23,8,6,9,7,5,11,33
2013,220,248,101,40,14,12,4,4,5,4,8,3,38
2014,332,346,141,58,26,16,11,8,5,9,4,3,40
2015,332,334,130,54,25,13,8,7,10,7,8,1,51
2016,337,355,148,50,29,11,9,7,8,7,7,5,59
2017,344,364,136,65,25,15,7,10,11,5,9,2,48
2018,334,367,118,79,25,20,14,7,4,10,0,6,51
2019,174,174,57,33,15,11,10,4,4,1,2,2,23
2021,338,346,116,56,41,12,10,9,8,8,10,6,42
2022,323,312,107,52,33,8,11,11,7,4,5,9,43
2023,334,328,104,55,32,23,7,8,6,4,8,5,50
2024,324,334,104,56,26,16,11,9,10,5,5,5,54
2025,348,351,128,53,46,12,12,10,6,5,2,7,56
Average across years,313,325,124,53,29,15,11,8,7,6,5,4,41
