year,count_of_length_cm,count_of_otosag_id
2003,882,576
2004,627,472
2005,770,589
2006,782,532
2007,557,467
2008,553,450
2009,575,481
2010,1121,570
2011,1225,635
2012,1053,444
2013,683,377
2014,1439,471
2015,945,412
2016,1003,408
2017,986,448
2018,796,386
2019,356,282
2021,1110,457
2022,818,334
2023,1007,338
2024,1458,490
2025,979,391
