year,satisfactory_tows
2003,343
2004,254
2005,357
2006,338
2007,389
2008,353
2009,357
2010,375
2011,373
2012,379
2013,281
2014,367
2015,338
2016,379
2017,386
2018,366
2019,181
2021,357
2022,321
2023,361
2024,365
2025,379
