"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",67,2,1,0,0,1,0,0,0,0
"2004",60,2,0,0,0,0,0,1,1,0
"2005",69,5,0,0,0,0,2,1,2,1
"2006",48,5,4,0,0,0,1,0,0,0
"2007",62,11,0,1,2,4,1,2,2,1
"2008",57,8,3,1,1,2,0,0,1,0
"2009",44,8,2,1,3,1,0,0,0,1
"2010",51,6,2,0,2,1,1,0,0,0
"2011",34,4,0,0,1,0,2,0,1,0
"2012",47,10,5,1,1,1,1,0,1,0
"2013",20,6,2,3,0,1,0,0,0,0
"2014",29,3,0,1,1,1,0,0,0,0
"2015",29,4,2,0,2,0,0,0,0,0
"2016",25,6,4,1,1,0,0,0,0,0
"2017",24,6,3,0,0,1,0,2,0,0
"2018",17,11,4,4,2,0,1,0,0,0
"2019",18,2,2,0,0,0,0,0,0,0
"2021",24,7,2,1,0,0,0,1,2,2
"2022",22,3,1,2,0,0,0,0,0,0
"2023",19,5,2,1,0,1,0,1,0,0
"2024",19,4,1,1,0,1,1,0,0,0
