year,count_of_length_cm,count_of_otosag_id
2003,2375,772
2004,1062,595
2005,1983,804
2006,1925,944
2007,2086,987
2008,1647,762
2009,2298,1159
2010,2239,912
2011,1828,798
2012,2205,793
2013,1548,690
2014,1517,767
2015,2458,1068
2016,2097,714
2017,1735,674
2018,1269,585
2019,822,329
2021,1118,622
2022,2310,851
2023,2220,814
2024,1983,742
2025,1405,630
