"latin","common","common_name","scientific_name"
"fish unident.","fish unident.","fish_unident.","fish_unident."
"Petromyzontidae","lamprey unident.","lamprey_unident.","Petromyzontidae"
"Entosphenus tridentata","Pacific lamprey","Pacific_lamprey","Entosphenus_tridentata"
"Myxinidae","hagfish unident.","hagfish_unident.","Myxinidae"
"Eptatretus","","","Eptatretus"
"Eptatretus deani","black hagfish","black_hagfish","Eptatretus_deani"
"Eptatretus stoutii","Pacific hagfish","Pacific_hagfish","Eptatretus_stoutii"
"Selachii sharks","shark unident.","shark_unident.","Selachii_sharks"
"Chondrichthyes","cartilaginous fish unident.","cartilaginous_fish_unident.","Chondrichthyes"
"Alopias vulpinus","common thresher shark","common_thresher_shark","Alopias_vulpinus"
"Scyliorhinidae","cat shark unident.","cat_shark_unident.","Scyliorhinidae"
"Apristurus brunneus","brown cat shark","brown_cat_shark","Apristurus_brunneus"
"Parmaturus xaniurus","filetail cat shark","filetail_cat_shark","Parmaturus_xaniurus"
"Apristurus kampae","longnose cat shark","longnose_cat_shark","Apristurus_kampae"
"Apristurus","demon cat sharks","demon_cat_sharks","Apristurus"
"Cephaloscyllium ventriosum","swell shark","swell_shark","Cephaloscyllium_ventriosum"
"Hexanchus griseus","bluntnose sixgill shark","bluntnose_sixgill_shark","Hexanchus_griseus"
"Lamna ditropis","salmon shark","salmon_shark","Lamna_ditropis"
"Cetorhinus maximus","basking shark","basking_shark","Cetorhinus_maximus"
"Squatina californica","Pacific angel shark","Pacific_angel_shark","Squatina_californica"
"Squalus suckleyi","Pacific spiny dogfish","Pacific_spiny_dogfish","Squalus_suckleyi"
"Centroscyllium nigrum","combtooth dogfish","combtooth_dogfish","Centroscyllium_nigrum"
"Somniosus pacificus","Pacific sleeper shark","Pacific_sleeper_shark","Somniosus_pacificus"
"Galeorhinus galeus","soupfin shark","soupfin_shark","Galeorhinus_galeus"
"Mustelus","","","Mustelus"
"Mustelus henlei","brown smoothhound","brown_smoothhound","Mustelus_henlei"
"Mustelus californicus","gray smoothhound","gray_smoothhound","Mustelus_californicus"
"Prionace glauca","blue shark","blue_shark","Prionace_glauca"
"Triakis semifasciata","leopard shark","leopard_shark","Triakis_semifasciata"
"Rajidae","skate unident.","skate_unident.","Rajidae"
"Raja","","","Raja"
"Bathyraja","","","Bathyraja"
"Bathyraja spinosissima","white skate","white_skate","Bathyraja_spinosissima"
"Bathyraja abyssicola","deepsea skate","deepsea_skate","Bathyraja_abyssicola"
"Raja binoculata","big skate","big_skate","Raja_binoculata"
"Raja inornata","California skate","California_skate","Raja_inornata"
"Bathyraja kincaidii","sandpaper skate","sandpaper_skate","Bathyraja_kincaidii"
"Raja rhina","longnose skate","longnose_skate","Raja_rhina"
"Amblyraja badia","roughshoulder skate","roughshoulder_skate","Amblyraja_badia"
"Raja stellulata","starry skate","starry_skate","Raja_stellulata"
"Bathyraja taranetzi","mud skate","mud_skate","Bathyraja_taranetzi"
"Bathyraja trachura","roughtail skate","roughtail_skate","Bathyraja_trachura"
"Bathyraja parmifera","Alaska skate","Alaska_skate","Bathyraja_parmifera"
"Bathyraja aleutica","Aleutian skate","Aleutian_skate","Bathyraja_aleutica"
"Bathyraja lindbergi","commander skate","commander_skate","Bathyraja_lindbergi"
"Bathyraja maculata","whiteblotched skate","whiteblotched_skate","Bathyraja_maculata"
"Bathyraja minispinosa","whitebrow skate","whitebrow_skate","Bathyraja_minispinosa"
"Bathyraja smirnovi","golden skate","golden_skate","Bathyraja_smirnovi"
"Bathyraja violacea","Okhotsk skate","Okhotsk_skate","Bathyraja_violacea"
"Torpedo californica","Pacific electric ray","Pacific_electric_ray","Torpedo_californica"
"Hydrolagus colliei","spotted ratfish","spotted_ratfish","Hydrolagus_colliei"
"Pleuronectiformes","flatfish unident.","flatfish_unident.","Pleuronectiformes"
"Bothidae","lefteye flounder unident.","lefteye_flounder_unident.","Bothidae"
"Citharichthys","sanddab unident.","sanddab_unident.","Citharichthys"
"Citharichthys xanthostigma","longfin sanddab","longfin_sanddab","Citharichthys_xanthostigma"
"Citharichthys sordidus","Pacific sanddab","Pacific_sanddab","Citharichthys_sordidus"
"Citharichthys stigmaeus","speckled sanddab","speckled_sanddab","Citharichthys_stigmaeus"
"Hippoglossina stomata","bigmouth sole","bigmouth_sole","Hippoglossina_stomata"
"Paralichthys californicus","California halibut","California_halibut","Paralichthys_californicus"
"Xystreurys liolepis","fantail sole","fantail_sole","Xystreurys_liolepis"
"Pleuronectidae","righteye flounder unident.","righteye_flounder_unident.","Pleuronectidae"
"Atheresthes stomias","arrowtooth flounder","arrowtooth_flounder","Atheresthes_stomias"
"Atheresthes","","","Atheresthes"
"Atheresthes evermanni","Kamchatka flounder","Kamchatka_flounder","Atheresthes_evermanni"
"Reinhardtius hippoglossoides","Greenland turbot","Greenland_turbot","Reinhardtius_hippoglossoides"
"Hippoglossus stenolepis","Pacific halibut","Pacific_halibut","Hippoglossus_stenolepis"
"Inopsetta ischyra","hybrid sole","hybrid_sole","Inopsetta_ischyra"
"Hippoglossoides","","","Hippoglossoides"
"Hippoglossoides elassodon","flathead sole","flathead_sole","Hippoglossoides_elassodon"
"Hippoglossoides robustus","Bering flounder","Bering_flounder","Hippoglossoides_robustus"
"Hypsopsetta guttulata","diamond turbot","diamond_turbot","Hypsopsetta_guttulata"
"Lyopsetta exilis","slender sole","slender_sole","Lyopsetta_exilis"
"Liopsetta glacialis","Arctic flounder","Arctic_flounder","Liopsetta_glacialis"
"Eopsetta jordani","petrale sole","petrale_sole","Eopsetta_jordani"
"Parophrys vetulus","English sole","English_sole","Parophrys_vetulus"
"Embassichthys bathybius","deepsea sole","deepsea_sole","Embassichthys_bathybius"
"Glyptocephalus zachirus","rex sole","rex_sole","Glyptocephalus_zachirus"
"Limanda aspera","yellowfin sole","yellowfin_sole","Limanda_aspera"
"Limanda proboscidea","longhead dab","longhead_dab","Limanda_proboscidea"
"Limanda sakhalinensis","sakhalin sole","sakhalin_sole","Limanda_sakhalinensis"
"Platichthys stellatus","starry flounder","starry_flounder","Platichthys_stellatus"
"Clidoderma asperrimum","roughscale sole","roughscale_sole","Clidoderma_asperrimum"
"Psettichthys melanostictus","sand sole","sand_sole","Psettichthys_melanostictus"
"Lepidopsetta","rock sole unident.","rock_sole_unident.","Lepidopsetta"
"Lepidopsetta polyxystra","northern rock sole","northern_rock_sole","Lepidopsetta_polyxystra"
"Lepidopsetta bilineata","southern rock sole","southern_rock_sole","Lepidopsetta_bilineata"
"Isopsetta isolepis","butter sole","butter_sole","Isopsetta_isolepis"
"Pleuronichthys decurrens","curlfin sole","curlfin_sole","Pleuronichthys_decurrens"
"Pleuronichthys verticalis","hornyhead turbot","hornyhead_turbot","Pleuronichthys_verticalis"
"Pleuronectes quadrituberculatus","Alaska plaice","Alaska_plaice","Pleuronectes_quadrituberculatus"
"Pleuronichthys coenosus","C-O sole","C-O_sole","Pleuronichthys_coenosus"
"Pleuronichthys","","","Pleuronichthys"
"Pleuronichthys ritteri","spotted turbot","spotted_turbot","Pleuronichthys_ritteri"
"Symphurus atricauda","California tonguefish","California_tonguefish","Symphurus_atricauda"
"Agonidae","poacher unident.","poacher_unident.","Agonidae"
"Pallasina barbata","tubenose poacher","tubenose_poacher","Pallasina_barbata"
"Percis japonicus","dragon poacher","dragon_poacher","Percis_japonicus"
"Sarritor","","","Sarritor"
"Sarritor leptorhynchus","longnose poacher","longnose_poacher","Sarritor_leptorhynchus"
"Sarritor frenatus","sawback poacher","sawback_poacher","Sarritor_frenatus"
"Agonopsis vulsa","northern spearnose poacher","northern_spearnose_poacher","Agonopsis_vulsa"
"Odontopyxis trispinosa","pygmy poacher","pygmy_poacher","Odontopyxis_trispinosa"
"Xeneretmus latifrons","blacktip poacher","blacktip_poacher","Xeneretmus_latifrons"
"Xeneretmus triacanthus","bluespotted poacher","bluespotted_poacher","Xeneretmus_triacanthus"
"Xeneretmus leiops","smootheye poacher","smootheye_poacher","Xeneretmus_leiops"
"Xeneretmus","","","Xeneretmus"
"Bathyagonus","starsnout poacher unident.","starsnout_poacher_unident.","Bathyagonus"
"Bathyagonus alascanus","gray starsnout","gray_starsnout","Bathyagonus_alascanus"
"Bathyagonus infraspinatus","spinycheek starsnout","spinycheek_starsnout","Bathyagonus_infraspinatus"
"Bathyagonus pentacanthus","bigeye starsnout poacher","bigeye_starsnout_poacher","Bathyagonus_pentacanthus"
"Bathyagonus nigripinnis","blackfin poacher","blackfin_poacher","Bathyagonus_nigripinnis"
"Podothecus","","","Podothecus"
"Podothecus accipenserinus","sturgeon poacher","sturgeon_poacher","Podothecus_accipenserinus"
"Podothecus veternus","veteran poacher","veteran_poacher","Podothecus_veternus"
"Aspidophoroides bartoni","Aleutian alligatorfish","Aleutian_alligatorfish","Aspidophoroides_bartoni"
"Anoplagonus inermis","smooth alligatorfish","smooth_alligatorfish","Anoplagonus_inermis"
"Chesnonia verrucosa","warty poacher","warty_poacher","Chesnonia_verrucosa"
"Occella dodecaedron","Bering poacher","Bering_poacher","Occella_dodecaedron"
"Hypsagonus quadricornis","fourhorn poacher","fourhorn_poacher","Hypsagonus_quadricornis"
"Stellerina xyosterna","pricklebreast poacher","pricklebreast_poacher","Stellerina_xyosterna"
"Alepocephalidae","slickhead unident.","slickhead_unident.","Alepocephalidae"
"Alepocephalus","","","Alepocephalus"
"Alepocephalus tenebrosus","California slickhead","California_slickhead","Alepocephalus_tenebrosus"
"Bajacalifornia burragei","sharpchin slickhead","sharpchin_slickhead","Bajacalifornia_burragei"
