"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",68,1,1,0,0,0,0,0,0,0
"2004",62,0,0,0,0,0,0,0,0,0
"2005",74,0,0,0,0,0,0,0,0,0
"2006",52,1,0,1,0,0,0,0,0,0
"2007",72,1,1,0,0,0,0,0,0,0
"2008",58,7,4,0,0,0,0,0,0,3
"2009",48,4,1,0,1,0,1,0,0,1
"2010",56,1,0,0,1,0,0,0,0,0
"2011",37,1,0,1,0,0,0,0,0,0
"2012",57,0,0,0,0,0,0,0,0,0
"2013",25,1,0,0,0,0,1,0,0,0
"2014",30,2,0,0,0,0,0,0,0,2
"2015",32,1,1,0,0,0,0,0,0,0
"2016",25,6,2,0,2,0,0,2,2,0
"2017",28,2,1,0,0,0,0,0,0,1
"2018",28,0,0,0,0,0,0,0,0,0
"2019",18,2,0,0,0,0,0,0,0,2
"2021",31,0,0,0,0,0,0,0,0,0
"2022",23,2,1,0,0,0,0,0,1,0
"2023",21,3,1,0,0,0,0,0,0,2
"2024",23,0,0,0,0,0,0,0,0,0
