"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",523,19,15,3,0,0,0,1,1,0
"2004",462,8,8,0,0,0,0,0,0,0
"2005",628,13,12,0,1,0,0,0,0,0
"2006",627,13,11,1,1,0,0,0,0,0
"2007",675,12,11,1,0,0,0,0,0,0
"2008",665,15,12,3,0,0,0,0,0,0
"2009",670,11,9,1,1,0,0,0,0,0
"2010",698,15,13,1,1,0,0,0,0,0
"2011",681,14,12,1,1,0,0,0,0,0
"2012",682,14,11,2,1,0,0,0,0,0
"2013",455,13,11,1,1,0,0,0,0,0
"2014",659,19,15,0,4,0,0,0,0,0
"2015",653,13,10,2,1,0,0,0,0,0
"2016",667,25,21,2,2,0,0,0,0,0
"2017",689,19,17,2,0,0,0,0,0,0
"2018",677,24,23,1,0,0,0,0,0,0
"2019",339,9,7,1,1,0,0,0,0,0
"2021",664,20,16,2,2,0,0,0,0,0
"2022",617,18,15,3,0,0,0,0,0,0
"2023",648,14,12,0,2,0,0,0,0,0
"2024",636,22,19,3,0,0,0,0,0,0
"2025",683,16,14,1,1,0,0,0,0,0
