year,count_of_length_cm,count_of_otosag_id
2004,12,12
2005,24,23
2006,49,49
2007,15,15
2008,39,40
2009,30,30
2010,75,75
2011,32,31
2012,25,25
2013,38,38
2014,133,131
2015,387,387
2016,312,312
2017,383,378
2018,560,560
2019,418,414
2021,309,308
2022,280,279
2023,293,292
2024,252,252
2025,286,285
