year,count_of_length_cm,count_of_otosag_id
2004,1,1
2005,0,0
2006,1,1
2007,3,3
2008,0,0
2009,5,5
2010,2,2
2011,0,0
2012,1,1
2013,0,0
2014,0,0
2015,13,13
2016,15,10
2017,15,15
2018,13,13
2019,17,16
2021,24,23
2022,22,22
2023,14,14
2024,13,12
2025,20,19
