"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",58,11,0,1,0,1,0,0,0,9
"2004",50,12,0,0,0,1,0,1,2,8
"2005",70,4,0,0,0,0,0,0,1,3
"2006",48,5,0,0,0,0,0,0,0,5
"2007",65,8,1,2,0,0,1,2,2,2
"2008",46,19,4,1,2,1,1,1,0,9
"2009",40,12,0,0,2,0,0,2,1,8
"2010",34,23,5,1,2,1,2,1,3,9
"2011",31,7,1,0,0,0,0,0,1,5
"2012",43,14,1,1,0,1,0,2,1,9
"2013",15,11,1,0,0,0,2,0,0,8
"2014",20,12,1,0,1,0,3,0,1,6
"2015",24,9,3,0,0,1,0,0,0,5
"2016",23,8,1,1,1,0,2,0,0,3
"2017",24,6,2,0,0,0,2,0,0,2
"2018",22,6,1,0,1,0,0,0,1,3
"2019",16,4,2,0,0,0,0,0,0,2
"2021",19,12,0,2,0,2,0,1,1,6
"2022",17,8,2,0,0,1,1,0,1,3
"2023",14,10,0,2,3,2,0,1,0,2
"2024",16,7,3,1,1,0,0,0,1,1
