"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"2003",479,63,55,7,0,0,0,0,0,0,0,0,0
"2004",433,37,34,2,0,0,0,0,0,0,0,0,0
"2005",587,54,51,3,0,0,0,0,0,0,0,0,0
"2006",592,48,44,1,1,0,0,0,0,0,0,0,0
"2007",635,52,50,1,1,0,0,0,0,0,0,0,0
"2008",627,53,51,1,0,0,0,0,0,0,0,0,0
"2009",628,53,51,2,0,0,0,0,0,0,0,0,0
"2010",676,37,31,4,0,0,0,0,0,0,0,0,0
"2011",643,52,48,3,0,1,0,0,0,0,0,0,0
"2012",633,63,62,0,0,0,0,0,0,0,0,0,0
"2013",419,49,44,4,1,0,0,0,0,0,0,0,0
"2014",620,58,53,4,0,0,1,0,0,0,0,0,0
"2015",612,54,48,4,0,0,0,0,0,0,0,0,0
"2016",644,48,47,1,0,0,0,0,0,0,0,0,0
"2017",640,68,61,6,1,0,0,0,0,0,0,0,0
"2018",649,52,47,3,1,0,0,0,1,0,0,0,0
"2019",318,30,27,2,0,1,0,0,0,0,0,0,0
"2021",613,71,67,4,0,0,0,0,0,0,0,0,0
"2022",576,59,57,1,0,0,0,0,0,0,0,0,0
"2023",607,55,46,6,2,1,0,0,0,0,0,0,0
"2024",596,62,56,3,1,0,0,0,0,0,0,0,0
"2025",643,56,53,0,1,0,0,0,0,0,0,0,0
"Average across years",585,53.3636363636364,49.2272727272727,2.81818181818182,0.409090909090909,0.136363636363636,0.0454545454545455,0,0.0454545454545455,0,0,0,0
