Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,345,197,8,3,3,5,3,1,5,0,1,2,165
2004,319,151,7,1,4,2,3,2,0,3,3,2,122
2005,411,230,15,9,5,2,3,3,2,6,7,2,171
2006,403,237,11,7,3,6,5,5,5,8,1,2,179
2007,435,252,11,7,9,8,4,2,4,5,5,4,188
2008,419,261,31,9,4,3,7,4,4,3,4,2,184
2009,437,244,13,6,9,6,6,4,3,3,5,4,179
2010,449,264,19,13,4,12,1,7,6,5,4,5,183
2011,441,254,16,12,8,7,6,8,5,6,6,3,169
2012,447,249,19,2,6,3,10,5,2,2,4,5,184
2013,306,162,14,1,3,3,1,3,3,2,3,5,121
2014,441,237,20,8,8,2,9,6,3,3,1,7,164
2015,428,238,23,7,4,7,2,4,1,10,6,4,165
2016,447,245,17,10,7,8,4,5,3,7,1,3,175
2017,471,237,14,7,5,1,5,4,0,1,4,4,188
2018,453,248,15,7,9,5,4,2,1,0,6,2,194
2019,237,111,8,3,2,5,1,2,1,2,4,1,79
2021,458,226,11,8,5,5,5,4,1,3,5,1,173
2022,436,199,14,4,3,4,7,6,3,1,2,4,149
2023,451,211,13,6,3,3,3,3,3,6,6,1,162
2024,442,216,11,3,3,5,4,3,3,7,2,3,170
2025,465,234,10,4,3,9,7,4,6,2,3,3,175
Average across years,416,223,15,6,5,5,5,4,3,4,4,3,165
