"year","count_of_length_cm","count_of_otosag_id"
"2003",2487,680
"2004",3283,748
"2005",3704,834
"2006",2679,596
"2007",2495,591
"2008",2209,700
"2009",2112,616
"2010",2091,821
"2011",1058,649
"2012",1251,833
"2013",1083,683
"2014",1729,875
"2015",1031,608
"2016",1445,720
"2017",905,540
"2018",987,530
"2019",659,350
"2021",1383,770
"2022",1167,673
"2023",1027,585
"2024",1168,700
"2025",1407,791
