"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",389,185,87,20,31,12,8,5,7,19
"2004",332,173,94,18,18,16,5,9,8,10
"2005",401,274,140,28,35,22,14,18,16,9
"2006",421,232,117,29,18,14,22,7,7,21
"2007",468,229,125,29,26,9,17,5,10,11
"2008",435,250,118,38,28,28,11,6,10,15
"2009",478,206,127,28,21,9,9,7,7,2
"2010",490,226,136,32,27,16,6,4,4,4
"2011",496,203,121,20,27,11,7,3,5,11
"2012",526,175,99,19,26,13,4,2,5,9
"2013",376,95,61,14,10,4,2,3,1,1
"2014",531,154,88,20,12,9,7,6,6,9
"2015",527,145,114,13,8,3,3,1,2,2
"2016",572,120,84,10,9,7,2,3,4,3
"2017",607,101,73,8,7,8,4,1,1,0
"2018",568,136,93,14,12,4,5,2,4,3
"2019",284,65,38,7,7,5,1,2,1,4
"2021",563,121,81,12,11,6,1,4,5,3
"2022",510,125,80,15,14,4,3,3,5,4
"2023",512,150,111,14,9,9,2,1,0,4
"2024",550,109,79,13,6,4,2,2,2,2
