"year","count_of_length_cm","count_of_otosag_id"
"2003",2355,553
"2004",1176,199
"2005",871,153
"2006",1283,239
"2007",975,204
"2008",923,365
"2009",938,593
"2010",574,381
"2011",1307,781
"2012",997,478
"2013",874,375
"2014",1421,606
"2015",1093,620
"2016",854,501
"2017",846,535
"2018",723,437
"2019",443,289
"2021",908,572
"2022",487,305
"2023",512,295
"2024",1195,618
"2025",552,409
