year,count_of_length_cm,count_of_otosag_id
2004,223,200
2005,128,129
2006,210,212
2007,189,187
2008,234,232
2009,273,273
2010,208,207
2011,244,242
2012,223,222
2013,271,268
2014,449,446
2015,378,375
2016,274,268
2017,377,362
2018,381,372
2019,347,331
2021,403,384
2022,504,478
2023,407,375
2024,387,370
2025,336,318
