"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",66,3,1,1,1,0,0,0,0,0
"2004",58,4,2,2,0,0,0,0,0,0
"2005",73,1,0,0,0,0,1,0,0,0
"2006",50,3,0,0,0,3,0,0,0,0
"2007",67,6,4,1,1,0,0,0,0,0
"2008",60,5,3,1,1,0,0,0,0,0
"2009",49,3,1,0,1,0,0,1,0,0
"2010",52,5,2,1,1,0,0,0,0,1
"2011",34,4,4,0,0,0,0,0,0,0
"2012",50,7,4,1,1,0,0,0,1,0
"2013",23,3,2,0,0,0,1,0,0,0
"2014",30,2,1,0,0,0,0,0,1,0
"2015",32,1,1,0,0,0,0,0,0,0
"2016",27,4,3,1,0,0,0,0,0,0
"2017",27,3,3,0,0,0,0,0,0,0
"2018",24,4,2,2,0,0,0,0,0,0
"2019",17,3,0,1,0,2,0,0,0,0
"2021",24,7,3,3,0,0,1,0,0,0
"2022",23,2,2,0,0,0,0,0,0,0
"2023",20,4,2,0,0,1,0,1,0,0
"2024",18,5,2,1,0,1,1,0,0,0
