Species,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024,2025
bank rockfish,12,24,49,15,39,30,75,32,25,38,133,387,312,383,560,418,309,280,293,252,286
blackgill rockfish,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,1,0
bocaccio,780,664,730,643,652,586,271,771,1072,1127,1789,1947,1256,1349,1416,1376,965,1403,1491,1045,1334
California scorpionfish,0,1,1,1,0,0,1,0,0,0,2,7,0,3,4,0,4,8,8,1,4
canary rockfish,21,20,11,21,4,20,16,11,12,12,26,21,11,15,41,41,12,58,20,16,24
chilipepper,67,74,44,83,89,86,50,134,77,73,172,169,143,306,263,280,133,132,227,279,454
cowcod,5,17,10,23,22,30,21,24,36,31,30,110,48,62,100,93,98,94,98,82,65
greenspotted rockfish,223,128,210,189,234,273,208,244,223,271,449,378,274,377,381,347,403,504,407,387,336
greenstriped rockfish,8,8,15,19,22,26,31,19,24,27,46,66,41,111,124,99,136,117,163,78,135
lingcod south,32,39,14,26,12,19,15,31,66,94,88,83,105,79,79,44,23,33,19,22,32
Pacific spiny dogfish,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2
petrale sole,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4
rosethorn rockfish,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
rougheye and blackspotted rockfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sharpchin rockfish,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,4,2,2,0,0,0
silvergray rockfish,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
squarespot rockfish,6,28,35,10,64,20,28,24,4,8,86,145,221,265,343,191,319,129,140,243,309
starry rockfish,24,32,61,63,117,85,93,39,69,55,124,189,120,153,253,328,420,490,494,483,614
stripetail rockfish,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
vermilion and sunset rockfish,737,864,579,907,857,1067,1151,1328,1184,1230,1708,1911,1904,2649,2648,2264,2314,2363,2333,2346,2137
widow rockfish,56,75,68,43,174,39,15,13,3,16,69,19,39,56,69,23,48,26,44,4,41
yelloweye rockfish,1,0,1,3,0,5,2,0,1,0,0,13,15,15,13,17,24,22,14,13,20
yellowtail rockfish south,126,122,88,119,139,80,60,126,106,96,110,78,89,46,77,69,92,92,130,62,104
