Species,2021,2022,2023,2024,2025
arrowtooth flounder,629,681,842,759,741
aurora rockfish,780,736,719,523,587
bank rockfish,24,24,64,105,117
big skate,139,167,164,116,114
black rockfish,6,0,0,0,0
blackgill rockfish,423,561,392,454,411
blue and deacon rockfish,0,0,0,0,0
bocaccio,555,367,347,505,625
cabezon,0,0,0,0,0
California scorpionfish,211,201,165,105,130
canary rockfish,469,491,401,292,337
chilipepper,770,673,585,700,791
copper rockfish,0,1,0,0,0
cowcod,33,32,32,54,100
darkblotched rockfish,622,851,814,742,630
Dover sole,1122,1065,1102,1132,1163
English sole,579,527,552,523,568
flathead sole,199,165,320,233,239
greenspotted rockfish,322,350,287,372,233
greenstriped rockfish,629,617,593,676,576
kelp greenling,4,5,10,13,3
lingcod north,457,334,338,490,391
lingcod south,244,229,173,224,297
longnose skate,403,1,0,374,423
longspine thornyhead,447,385,424,429,464
Pacific cod,24,75,117,72,75
Pacific ocean perch,819,1005,662,659,578
Pacific sanddab,460,431,445,434,460
Pacific spiny dogfish,312,3,0,258,333
petrale sole,1243,772,787,775,869
quillback rockfish,12,13,5,10,7
redbanded rockfish,226,179,301,209,192
redstripe rockfish,207,136,142,107,64
rex sole,825,407,419,394,406
rosethorn rockfish,443,329,398,412,242
rougheye and blackspotted rockfish,149,43,79,59,113
sablefish,2184,1668,1752,1739,1755
sharpchin rockfish,572,305,295,618,409
shortraker rockfish,0,3,3,9,1
shortspine thornyhead,682,609,648,644,692
silvergray rockfish,5,48,24,91,42
splitnose rockfish,555,485,407,427,422
squarespot rockfish,111,139,102,70,92
starry rockfish,0,5,2,11,2
stripetail rockfish,718,385,381,415,409
vermilion and sunset rockfish,204,190,243,78,193
widow rockfish,66,109,110,347,135
yelloweye rockfish,66,51,53,56,40
yellowmouth rockfish,0,10,25,42,31
yellowtail rockfish north,309,261,495,425,303
yellowtail rockfish south,74,1,2,0,56
