Species,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
arrowtooth flounder,478,221,82,33,11,9,10,9,2,3,2,1,42
aurora rockfish,608,91,52,8,5,4,4,2,0,3,1,2,3
bank rockfish,684,15,12,1,0,0,0,2,0,0,0,0,0
big skate,611,88,87,1,0,0,0,0,0,0,0,0,0
black rockfish,314,0,0,0,0,0,0,0,0,0,0,0,0
blackgill rockfish,663,36,25,3,2,1,1,0,0,0,0,0,2
blue and deacon rockfish,942,0,0,0,0,0,0,0,0,0,0,0,0
bocaccio,617,82,57,7,6,3,4,0,0,0,0,1,2
cabezon,99,0,0,0,0,0,0,0,0,0,0,0,0
California scorpionfish,688,11,5,4,0,0,1,0,0,0,0,0,1
canary rockfish,641,58,48,3,0,0,1,1,0,2,0,0,3
chilipepper,583,116,52,14,9,3,3,1,2,0,0,3,25
copper rockfish,314,0,0,0,0,0,0,0,0,0,0,0,0
cowcod,664,35,34,1,0,0,0,0,0,0,0,0,0
darkblotched rockfish,580,119,81,11,4,5,3,1,1,0,1,1,7
Dover sole,96,603,118,43,44,23,24,23,26,13,19,21,220
English sole,404,295,75,20,24,20,12,14,13,13,5,9,65
flathead sole,647,52,41,3,0,1,1,1,0,0,0,0,1
greenspotted rockfish,659,40,31,2,1,0,1,1,0,0,0,0,1
greenstriped rockfish,545,154,81,12,6,6,5,2,7,0,2,1,26
kelp greenling,97,2,2,0,0,0,0,0,0,0,0,0,0
lingcod north,243,136,103,10,5,4,5,3,0,1,0,0,3
lingcod south,237,83,73,5,3,0,0,2,0,0,0,0,0
longnose skate,268,431,304,65,21,5,2,2,1,4,0,1,1
longspine thornyhead,465,234,10,4,3,9,7,4,6,2,3,3,175
Pacific cod,677,22,20,1,0,0,0,0,0,0,0,0,1
Pacific ocean perch,644,55,33,4,2,1,1,1,1,0,0,0,10
Pacific sanddab,466,233,30,7,14,4,9,11,12,6,8,6,120
Pacific spiny dogfish,563,136,107,8,2,1,5,1,1,0,1,0,2
petrale sole,385,314,116,57,41,24,13,3,3,9,3,3,21
quillback rockfish,311,3,3,0,0,0,0,0,0,0,0,0,0
redbanded rockfish,643,56,53,0,1,0,0,0,0,0,0,0,0
redstripe rockfish,689,10,8,1,0,0,1,0,0,0,0,0,0
rex sole,274,425,87,33,36,20,25,20,13,6,11,14,144
rosethorn rockfish,651,48,40,0,1,2,1,0,1,1,0,1,1
rougheye and blackspotted rockfish,668,32,28,2,0,0,0,0,0,0,0,0,0
sablefish,188,511,228,87,37,30,19,13,8,5,5,7,38
sharpchin rockfish,660,39,23,4,3,2,0,0,0,0,0,1,6
shortraker rockfish,698,1,1,0,0,0,0,0,0,0,0,0,0
shortspine thornyhead,348,351,128,53,46,12,12,10,6,5,2,7,56
silvergray rockfish,692,7,5,0,1,0,0,0,0,0,0,0,0
splitnose rockfish,575,124,47,12,3,3,7,5,5,2,2,1,34
squarespot rockfish,687,12,8,1,1,1,0,0,0,0,0,0,1
starry rockfish,697,2,2,0,0,0,0,0,0,0,0,0,0
stripetail rockfish,557,142,36,16,9,5,6,2,3,3,4,1,51
vermilion and sunset rockfish,1383,15,9,2,1,0,1,0,1,0,0,0,0
widow rockfish,679,20,16,0,3,0,0,0,0,0,0,0,1
yelloweye rockfish,683,16,15,1,0,0,0,0,0,0,0,0,0
yellowmouth rockfish,697,2,1,0,0,0,1,0,0,0,0,0,0
yellowtail rockfish north,344,35,23,2,0,0,0,0,0,0,1,1,5
yellowtail rockfish south,318,2,1,0,0,0,0,0,0,0,0,0,0
