Species,2021,2022,2023,2024,2025
bank rockfish,308,279,292,252,285
blackgill rockfish,0,0,1,1,0
bocaccio,371,548,556,385,534
California scorpionfish,2,8,8,1,2
canary rockfish,11,58,19,15,23
chilipepper,129,123,221,277,454
cowcod,93,94,98,81,64
greenspotted rockfish,384,478,375,370,318
greenstriped rockfish,136,117,163,77,135
lingcod south,0,3,4,0,0
Pacific spiny dogfish,0,0,0,0,0
petrale sole,0,0,0,0,0
rosethorn rockfish,0,0,0,0,0
rougheye and blackspotted rockfish,0,1,0,0,0
sharpchin rockfish,2,2,0,0,0
silvergray rockfish,0,0,0,0,0
squarespot rockfish,295,125,138,239,308
starry rockfish,410,476,480,474,610
stripetail rockfish,0,0,0,1,0
vermilion and sunset rockfish,933,946,901,928,810
widow rockfish,47,26,36,4,40
yelloweye rockfish,23,22,14,12,19
yellowtail rockfish south,90,91,130,61,102
