Species,2025 length targets,2025 age targets,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
arrowtooth flounder,10,4,412,226,103,31,18,12,9,7,4,4,3,3,20
aurora rockfish,20,10,555,84,43,12,7,5,3,3,2,1,1,1,2
bank rockfish,100,50,626,13,11,1,0,0,0,0,0,0,0,0,0
big skate,50,2,542,96,89,5,1,0,0,0,0,0,0,0,0
black rockfish,100,15,288,0,0,0,0,0,0,0,0,0,0,0,0
blackgill rockfish,100,50,603,35,24,3,2,1,1,1,0,0,0,0,1
blue and deacon rockfish,100,15,864,0,0,0,0,0,0,0,0,0,0,0,0
bocaccio,50,25,585,53,40,4,3,1,1,0,0,0,0,0,2
cabezon,100,15,93,0,0,0,0,0,0,0,0,0,0,0,0
California scorpionfish,100,25,626,13,8,2,1,0,0,0,0,0,0,0,1
canary rockfish,100,30,585,54,42,2,2,1,1,0,1,0,0,0,3
chilipepper,20,10,545,94,48,9,5,3,2,2,1,1,1,1,19
copper rockfish,100,50,288,0,0,0,0,0,0,0,0,0,0,0,0
cowcod,100,25,618,20,20,0,0,0,0,0,0,0,0,0,0
darkblotched rockfish,50,10,525,113,69,14,5,4,3,2,2,1,1,1,7
Dover sole,10,2,102,537,119,41,30,24,22,18,18,14,15,13,198
English sole,10,2,372,267,80,28,22,18,16,11,11,8,7,6,41
flathead sole,50,10,587,52,34,7,2,2,1,1,0,0,0,0,1
greenspotted rockfish,50,25,603,35,24,3,2,1,1,1,0,0,0,0,1
greenstriped rockfish,20,5,477,161,79,19,10,7,5,4,3,2,2,2,21
kelp greenling,100,15,90,3,2,0,0,0,0,0,0,0,0,0,0
lingcod north,20,4,215,131,106,10,5,2,2,1,0,0,0,0,1
lingcod south,50,15,214,79,63,8,3,1,1,1,0,0,0,0,0
longnose skate,20,1,254,384,255,65,23,10,5,3,1,2,1,0,1
longspine thornyhead,20,2,416,223,15,6,5,5,5,4,3,4,4,3,165
Pacific cod,50,15,610,28,22,3,1,1,0,0,0,0,0,0,0
Pacific ocean perch,50,25,590,49,32,4,2,1,1,1,0,0,0,0,5
Pacific sanddab,10,2,429,210,27,11,10,8,8,7,7,6,6,5,108
Pacific spiny dogfish,20,4,476,162,114,15,7,4,3,2,2,1,1,1,8
petrale sole,20,3,363,275,118,49,30,16,10,8,5,4,3,2,12
quillback rockfish,100,15,284,4,3,0,0,0,0,0,0,0,0,0,0
redbanded rockfish,100,25,585,53,49,3,0,0,0,0,0,0,0,0,0
redstripe rockfish,100,50,626,12,7,1,0,0,0,0,0,0,0,0,2
rex sole,10,2,243,395,76,36,27,21,17,16,13,11,11,9,137
rosethorn rockfish,30,15,590,49,25,5,3,2,2,1,1,1,0,0,6
rougheye and blackspotted rockfish,100,50,610,30,27,1,0,0,0,0,0,0,0,0,0
sablefish,20,4,210,428,230,77,35,18,11,7,3,4,2,2,14
sharpchin rockfish,50,25,595,43,26,3,2,1,1,1,0,0,0,0,8
shortraker rockfish,100,15,638,1,1,0,0,0,0,0,0,0,0,0,0
shortspine thornyhead,20,2,313,325,124,53,29,15,11,8,7,6,5,4,41
silvergray rockfish,100,50,632,6,5,1,0,0,0,0,0,0,0,0,0
splitnose rockfish,20,4,510,128,43,10,6,4,4,3,2,2,2,2,44
squarespot rockfish,100,25,629,10,6,1,0,0,0,0,0,0,0,0,2
starry rockfish,100,15,636,2,2,0,0,0,0,0,0,0,0,0,0
stripetail rockfish,20,3,498,141,55,12,7,4,4,2,2,2,2,2,42
vermilion and sunset rockfish,100,50,1264,12,8,1,1,0,0,0,0,0,0,0,0
widow rockfish,100,50,613,25,20,1,1,0,0,0,0,0,0,0,1
yelloweye rockfish,100,50,623,16,15,1,0,0,0,0,0,0,0,0,0
yellowmouth rockfish,100,25,636,2,1,0,0,0,0,0,0,0,0,0,0
yellowtail rockfish north,50,25,303,43,27,4,2,1,1,1,0,1,0,0,5
yellowtail rockfish south,100,50,290,3,2,0,0,0,0,0,0,0,0,0,0
