Species,2021,2022,2023,2024,2025
bank rockfish,309,280,293,252,286
blackgill rockfish,0,0,1,1,0
bocaccio,965,1403,1491,1045,1334
California scorpionfish,4,8,8,1,4
canary rockfish,12,58,20,16,24
chilipepper,133,132,227,279,454
cowcod,98,94,98,82,65
greenspotted rockfish,403,504,407,387,336
greenstriped rockfish,136,117,163,78,135
lingcod south,23,33,19,22,32
Pacific spiny dogfish,1,0,1,0,2
petrale sole,0,0,0,2,4
rosethorn rockfish,1,0,0,0,0
rougheye and blackspotted rockfish,0,1,0,0,0
sharpchin rockfish,2,2,0,0,0
silvergray rockfish,0,0,0,0,0
squarespot rockfish,319,129,140,243,309
starry rockfish,420,490,494,483,614
stripetail rockfish,0,0,0,1,0
vermilion and sunset rockfish,2314,2363,2333,2346,2137
widow rockfish,48,26,44,4,41
yelloweye rockfish,24,22,14,13,20
yellowtail rockfish south,92,92,130,62,104
