year,count_of_length_cm,count_of_otosag_id
2004,56,55
2005,75,74
2006,68,68
2007,43,43
2008,174,173
2009,39,39
2010,15,15
2011,13,13
2012,3,3
2013,16,16
2014,69,70
2015,19,19
2016,39,37
2017,56,50
2018,69,66
2019,23,23
2021,48,47
2022,26,26
2023,44,36
2024,4,4
2025,41,40
