"year","count_of_length_cm","count_of_otosag_id"
"2003",1,0
"2004",3,3
"2005",3,3
"2006",1,1
"2007",6,6
"2008",2,2
"2009",18,18
"2010",2,2
"2011",1,1
"2012",3,3
"2013",2,0
"2014",0,0
"2015",0,0
"2016",2,2
"2017",9,6
"2018",10,10
"2019",16,16
"2021",0,0
"2022",5,5
"2023",2,2
"2024",12,11
"2025",2,2
