"year","count_of_length_cm","count_of_otosag_id"
"2003",10843,0
"2004",13953,0
"2005",16023,0
"2006",11565,0
"2007",9621,801
"2008",7249,765
"2009",4124,780
"2010",2653,883
"2011",6988,838
"2012",7406,848
"2013",5720,598
"2014",8675,850
"2015",8503,816
"2016",8667,841
"2017",5241,831
"2018",4843,852
"2019",2424,415
"2021",4119,825
"2022",3993,407
"2023",4046,419
"2024",4031,394
"2025",4312,406
